gender,in_en,in_am
m,Aron,አሮን
m,Abdeel,ዐብድኤል
m,Abel,አቤል
m,Abida,አቢዳጽ
m,Abidan,አቢዳን
e,Abiel,አቢኤል
m,Abiezer,አቢአዝር
m,Abigail,አቢግያ
e,Abihail,አቢካኢል
e,Abijah,አቢያ
m,Abiram,አቤሮን
NA,Abishag,አቢሳን
e,Abishai,አቢሳ
e,Abishua,አቢሱ
f,Abital,አቢጣል
m,Abner,አበኔር
m,Abraham,አብርሃም
m,Abram,አብራም
m,Absalom,አቤሴሎም
f,Adah,ዓዳ
e,Adalia,በርያ
m,Adam,አዳም
m,Addi,ሐዲ
e,Adiel,ዓዲዔል
m,Adin,ዓዲን
e,Adina,አዲና
m,Adnah,ዓድና
m,Adoni-bezek,አዶኒቤዜቅ
m,Adonijah,አዶንያስ
e,Adriel,ኤስድሪኤል
m,Aeneas,ኤንያ
m,Ahab,አክዓብ
e,Ahlai,አሕላይ
m,Akim,አኪም
e,Alemeth,ዓሌሜት
e,Alexander,አሌክስንድሮስ
m,Almodad,ኤልሞዳድ
m,Alvan,ዓልዋን
e,Amariah,አማርያ
e,Amasiah,ዓማስያ
m,Amaziah,አሜስያስ
e,Ammiel,ዓሚኤል
m,Amos,አሞጽ
m,Amoz,አሞጽ
e,Amraphel,አምራፌል
m,Amzi,አማሲ
m,Anah,ዓና
m,Ananiah,ሓናንያ
m,Ananias,ሓናንያ
m,Andrew,አንድርያስ
m,Andronicus,አንዲራኒቆ
f,Anna,ሓና
m,Apollos,አጵሎስ
f,Apphia,አፍብያ
m,Aquila,አቂላ
m,Ardon,አርዶን
e,Areli,አርኤሊ
e,Ariel,አርኤል
m,Armoni,ሄርሞን
m,Artemas,አርጢሞን
f,Artemis,አርጤምስ
m,Asa,አሳ
e,Asaph,አሳፍ
e,Asarel,አሣርኤል
e,Asarelah,አሽርኤላ
f,Ascah,ዓክሳ
f,Asenath,አስናት
m,Ashbea,አሽቤዓ
m,Asher,አሴር
f,Ashtoreth,አስታሮት
f,Ashtoreth,ምዕራፍ
e,Asiel,ዓሢኤል
m,Asriel,አሥሪኤል
f,Atarah,ዓጣራ
f,Athaliah,ጎቶልያ
m,Augustus,አውግስጦስ
e,Azaliah,ኤዜልያስ
m,Azaniah,አዛንያ
e,Azarael,ኤዝርኤል
e,Azareel,አዛርኤል
e,Azaria,ዓዛርያስ
e,Azaziah,ዓዛዝያ
e,Azel,ኤሴል
m,Aziel,ዓዝዔል
e,Azriel,ዓዝርኤል
m,Azzan,ሖዛ
m,Abate,አባተ
NA,Abay,አባይ
NA,Abayneh,አባይነህ
NA,Abdela,አብደላ
NA,Abdi,አብዲ
NA,Abdu,አብዱ
NA,Abdul,አብዱል
NA,Abdulahi,አብዱላሂ
m,Abebe,አበበ
m,Abegaz,አበጋዝ
m,Abel,አቤል
m,Abenet,አብነት
m,Abenezer,አቤነዘር
m,Abera,አበራ
m,Abiy,አብይ
m,Abubeker,አቡበከር
m,Adane,አዳነ
m,Addisu,አዲሱ
m,Admasu,አድማሱ
m,Adugna,አዱኛ
NA,Afework,አፍወርቅ
m,Ahmed,አህመድ
m,Akalu,አካሉ	
m,Aklilu,አክሊሉ
m,Alazar,አላዛር
NA,Alebachew,አለባቸው
NA,Alemayehu,አለምአየሁ
NA,Alemu,አለሙ
NA,Alex,አሌክስ
NA,Alex,ዓሊ
NA,Alula,አሉላ
m,Aman,አማን
m,Amanuel,አማኑኤል
m,Amare,አማረ
NA,Amha,አምሃ
NA,Amin,አሚን
NA,Andargachew,አንዳርጋቸው
NA,Andinet,አንድነት
NA,Andualem,አንዱአለም
NA,Anteneh,አንተነህ
NA,Argaw,አርጋው
NA,Aron,አሮን
NA,Aschalew,አስቻለው
NA,Asefa,አሰፋ
NA,Asfaw,አስፋው
NA,Asheber,አሸብር
NA,Ashenafi,አሸናፊ
NA,Asmamaw,አስማማው
NA,Asrat,አስራት
NA,Assefa,አሰፋ
NA,Atinafu,አጥናፉ
NA,Atlabachew,አጥላባችው
NA,Ayele,አየለ
